rookie_yr,state,count
1871,MD,1
1871,NJ,3
1871,NY,19
1871,Netherlands,1
1871,OH,1
1871,PA,10
1871,United Kingdom,3
1872,CT,3
1872,Cuba,1
1872,DC,1
1872,IA,1
1872,MA,1
1872,NY,19
1872,OH,1
1872,PA,5
1872,United Kingdom,1
1873,CT,1
1873,Canada,1
1873,DC,2
1873,Ireland,1
1873,MA,1
1873,MD,1
1873,ME,1
1873,NY,7
1873,PA,1
1873,VA,1
1874,CT,1
1874,DC,1
1874,Ireland,1
1874,LA,1
1874,NJ,2
1874,NY,3
1874,PA,3
1874,United Kingdom,1
1875,CT,1
1875,DC,1
1875,Ireland,1
1875,MA,2
1875,MO,2
1875,NJ,1
1875,NY,4
1875,PA,8
1875,United Kingdom,1
1876,IL,1
1876,KY,1
1876,MA,4
1876,NC,1
1876,NJ,1
1876,NY,1
1876,OH,2
1876,PA,2
1877,CT,1
1877,ME,1
1877,MO,1
1877,NY,1
1877,OH,1
1877,PA,1
1878,IL,2
1878,IN,1
1878,MA,1
1878,MD,1
1878,MO,1
1878,NY,3
1878,PA,10
1878,RI,1
1878,United Kingdom,1
1878,WI,1
1879,CT,2
1879,Canada,1
1879,DC,1
1879,IL,1
1879,Ireland,1
1879,KY,1
1879,MA,8
1879,MD,2
1879,ME,1
1879,NH,1
1879,NJ,2
1879,NY,10
1879,OH,2
1879,PA,1
1879,RI,2
1879,United Kingdom,1
1879,WV,1
1880,CT,3
1880,Canada,3
1880,GA,1
1880,MA,3
1880,MD,1
1880,NY,4
1880,OH,2
1880,PA,6
1880,RI,1
1881,DC,1
1881,IL,1
1881,MA,3
1881,MD,1
1881,NY,4
1881,OH,1
1881,PA,1
1882,CA,1
1882,CT,4
1882,IL,2
1882,Ireland,3
1882,KY,5
1882,MA,1
1882,MD,2
1882,MO,4
1882,NY,11
1882,OH,1
1882,PA,13
1882,RI,1
1882,United Kingdom,2
1882,VT,1
1883,CA,2
1883,CT,1
1883,Canada,1
1883,DC,2
1883,Germany,1
1883,IA,1
1883,IL,1
1883,Ireland,2
1883,KY,1
1883,MA,6
1883,ME,1
1883,MO,1
1883,NH,1
1883,NJ,1
1883,NY,7
1883,OH,4
1883,PA,7
1883,RI,1
1883,United Kingdom,1
1883,WI,1
1884,CA,6
1884,CT,2
1884,Canada,8
1884,DC,2
1884,FL,1
1884,GA,2
1884,Germany,2
1884,IA,2
1884,IL,13
1884,IN,3
1884,Ireland,2
1884,KS,1
1884,KY,4
1884,LA,1
1884,MA,20
1884,MD,3
1884,MI,1
1884,MO,4
1884,NH,2
1884,NJ,3
1884,NY,17
1884,OH,11
1884,PA,29
1884,RI,3
1884,TN,1
1884,United Kingdom,2
1884,VA,4
1884,VT,2
1884,WI,2
1884,WV,3
1885,Canada,3
1885,IL,2
1885,IN,2
1885,MA,2
1885,MD,1
1885,MO,1
1885,MS,1
1885,NH,1
1885,NY,3
1885,OH,2
1885,PA,7
1885,RI,4
1885,VT,2
1885,WI,2
1886,DC,1
1886,IL,5
1886,Ireland,1
1886,KY,2
1886,LA,1
1886,MA,6
1886,MD,1
1886,MN,1
1886,MO,1
1886,NY,3
1886,OH,5
1886,PA,8
1886,RI,1
1886,VA,1
1886,WI,3
1887,CA,1
1887,CT,2
1887,Ireland,1
1887,KY,3
1887,MA,6
1887,ME,1
1887,MO,3
1887,NJ,1
1887,NY,5
1887,OH,7
1887,PA,8
1887,RI,1
1887,VA,1
1887,WI,1
1888,CA,1
1888,DC,2
1888,DE,1
1888,IA,1
1888,IL,2
1888,KY,4
1888,MA,2
1888,MD,4
1888,ME,1
1888,MI,1
1888,MN,2
1888,MO,1
1888,MS,1
1888,NJ,3
1888,NY,8
1888,OH,7
1888,PA,6
1888,RI,1
1888,VA,1
1888,VT,1
1888,WI,2
1889,AL,1
1889,CA,1
1889,CT,2
1889,Canada,1
1889,DE,2
1889,IA,1
1889,IL,3
1889,IN,3
1889,KY,3
1889,MA,3
1889,MD,1
1889,MN,1
1889,MO,5
1889,NH,1
1889,NJ,1
1889,NY,3
1889,OH,2
1889,PA,8
1889,WV,1
1890,AB,1
1890,CA,2
1890,CT,2
1890,Canada,2
1890,DC,1
1890,DE,1
1890,GA,1
1890,IL,6
1890,IN,2
1890,Ireland,4
1890,KY,3
1890,MA,9
1890,MD,3
1890,MI,4
1890,MN,1
1890,MO,3
1890,NH,1
1890,NJ,5
1890,NY,19
1890,OH,14
1890,PA,20
1890,RI,5
1890,SC,1
1890,TN,3
1890,VA,1
1890,WI,2
1890,WV,2
1891,CT,1
1891,Canada,1
1891,DC,1
1891,Germany,1
1891,IN,2
1891,KY,1
1891,MA,4
1891,ME,1
1891,MO,1
1891,NJ,2
1891,NY,2
1891,OH,3
1891,PA,4
1891,WI,1
1892,CA,1
1892,CT,1
1892,DE,1
1892,IA,1
1892,IN,1
1892,MA,3
1892,MO,1
1892,NY,2
1892,OH,2
1892,OR,1
1892,PA,3
1892,VT,1
1892,WI,1
1893,AL,1
1893,CA,1
1893,IL,1
1893,IN,1
1893,KY,3
1893,MA,2
1893,MD,2
1893,MI,1
1893,MO,1
1893,NY,4
1893,OH,5
1893,OR,1
1893,PA,1
1893,TN,1
1893,WV,1
1894,CT,1
1894,IA,1
1894,IL,6
1894,Ireland,1
1894,KS,1
1894,MA,3
1894,MD,1
1894,MO,2
1894,NE,1
1894,NH,1
1894,NJ,1
1894,NY,1
1894,OH,3
1894,PA,5
1894,SC,1
1894,WI,1
1894,WV,1
1895,AL,1
1895,CT,1
1895,Canada,1
1895,IA,2
1895,IL,3
1895,IN,3
1895,KY,1
1895,LA,1
1895,MA,6
1895,MD,1
1895,MO,2
1895,NH,1
1895,NJ,1
1895,NY,3
1895,Norway,1
1895,OH,3
1895,PA,4
1895,United Kingdom,1
1895,VA,1
1895,WI,1
1895,WV,1
1896,CA,3
1896,CT,4
1896,DE,1
1896,IL,3
1896,IN,2
1896,KY,4
1896,MA,4
1896,MD,1
1896,MI,1
1896,MN,1
1896,NY,2
1896,OH,3
1896,PA,8
1896,RI,1
1896,SC,1
1896,TN,1
1896,VT,1
1896,WV,1
1897,CT,1
1897,DC,1
1897,IL,4
1897,IN,2
1897,KY,1
1897,MA,1
1897,MI,1
1897,MN,1
1897,MO,1
1897,MS,1
1897,NB,1
1897,NH,1
1897,NY,2
1897,Netherlands,1
1897,OH,5
1897,PA,8
1897,Russian Federation,1
1897,TN,1
1897,United Kingdom,1
1898,CA,2
1898,CO,1
1898,DC,1
1898,IA,1
1898,Ireland,1
1898,KY,1
1898,MA,1
1898,MD,3
1898,ME,1
1898,MI,2
1898,MO,2
1898,NH,1
1898,NJ,1
1898,NY,4
1898,OH,5
1898,PA,4
1898,VA,1
1899,CA,1
1899,CT,1
1899,GA,1
1899,IA,1
1899,IL,2
1899,IN,2
1899,MA,7
1899,MD,3
1899,MI,3
1899,MN,1
1899,MO,2
1899,NJ,1
1899,NY,5
1899,OH,5
1899,PA,10
1899,TN,2
1899,TX,2
1899,VA,2
1899,WI,1
1900,IL,1
1900,IN,1
1900,Ireland,1
1900,KS,1
1900,MA,1
1900,MI,1
1900,MO,1
1900,NE,1
1900,NJ,1
1900,OH,4
1900,PA,1
1900,TN,2
1901,CA,1
1901,CT,1
1901,DC,1
1901,DE,1
1901,Germany,2
1901,IL,4
1901,IN,1
1901,KS,3
1901,MA,5
1901,MD,2
1901,ME,2
1901,MI,1
1901,MO,2
1901,NC,1
1901,NH,1
1901,NJ,2
1901,NY,7
1901,OH,9
1901,PA,13
1901,TN,2
1901,United Kingdom,2
1901,VA,1
1901,WI,2
1901,WV,1
1902,AL,1
1902,CA,2
1902,Canada,2
1902,DE,1
1902,IA,1
1902,IL,3
1902,IN,3
1902,KS,1
1902,KY,2
1902,MA,3
1902,MD,2
1902,ME,1
1902,MI,3
1902,MN,2
1902,MO,2
1902,NH,1
1902,NJ,2
1902,NY,4
1902,OH,8
1902,PA,8
1902,TN,1
1902,VA,2
1902,WI,2
1903,CT,1
1903,DC,1
1903,GA,1
1903,IA,1
1903,IL,5
1903,IN,2
1903,KY,2
1903,MA,3
1903,MI,1
1903,MN,1
1903,MO,2
1903,NJ,4
1903,NY,2
1903,OH,2
1903,OR,1
1903,PA,12
1903,RI,1
1903,TX,2
1903,United Kingdom,1
1903,WI,1
1903,WV,1
1904,Canada,2
1904,DC,1
1904,IA,1
1904,IL,1
1904,IN,1
1904,Ireland,1
1904,MA,1
1904,MD,1
1904,ME,1
1904,MN,1
1904,MO,4
1904,NC,1
1904,NJ,1
1904,NY,8
1904,OH,12
1904,PA,9
1904,RI,1
1904,Switzerland,1
1904,TN,1
1904,WI,4
1905,AL,1
1905,AR,1
1905,CA,2
1905,Canada,2
1905,DE,1
1905,GA,1
1905,Germany,1
1905,IA,2
1905,IL,4
1905,IN,2
1905,KS,2
1905,MA,1
1905,MD,1
1905,ME,1
1905,MI,3
1905,MN,1
1905,MO,2
1905,NC,1
1905,NE,1
1905,NY,6
1905,OH,4
1905,PA,8
1905,TX,1
1905,VA,1
1905,WI,2
1906,AL,1
1906,AR,1
1906,CA,1
1906,CO,2
1906,Canada,2
1906,DE,1
1906,IA,5
1906,IL,2
1906,IN,1
1906,KY,1
1906,LA,1
1906,MA,6
1906,MI,1
1906,MN,1
1906,MO,2
1906,NE,2
1906,NY,9
1906,Norway,1
1906,OH,14
1906,PA,11
1906,RI,1
1906,TX,2
1906,WI,2
1907,AB,1
1907,CA,1
1907,Canada,3
1907,FL,1
1907,GA,2
1907,IA,2
1907,IL,7
1907,IN,2
1907,KS,1
1907,MA,3
1907,MD,2
1907,MI,2
1907,MN,1
1907,MO,3
1907,NE,2
1907,NJ,2
1907,NY,6
1907,OH,4
1907,PA,8
1907,TN,1
1907,TX,1
1907,VA,1
1907,WI,2
1908,AR,1
1908,CA,3
1908,CT,1
1908,DC,1
1908,IA,1
1908,IL,3
1908,IN,4
1908,KS,2
1908,KY,1
1908,MA,3
1908,MD,1
1908,ME,1
1908,MI,3
1908,MO,1
1908,NE,1
1908,NJ,2
1908,NY,7
1908,OH,6
1908,PA,10
1908,SC,1
1908,TX,3
1908,United Kingdom,2
1908,VA,1
1908,VT,2
1908,WA,1
1908,WI,1
1909,CA,7
1909,GA,1
1909,Germany,1
1909,IA,2
1909,IL,7
1909,IN,4
1909,Ireland,1
1909,KS,3
1909,LA,1
1909,MA,3
1909,MD,1
1909,ME,2
1909,MI,4
1909,MO,4
1909,MS,1
1909,NC,2
1909,NE,1
1909,NJ,1
1909,NY,6
1909,Netherlands,1
1909,OH,10
1909,OR,1
1909,PA,5
1909,SD,1
1909,Slovakia,1
1909,TN,1
1909,TX,1
1909,United Kingdom,1
1909,VT,1
1909,WI,3
1909,WV,2
1910,CA,3
1910,CO,1
1910,Canada,2
1910,IA,1
1910,IL,7
1910,IN,3
1910,Ireland,1
1910,KS,1
1910,KY,2
1910,MA,2
1910,MD,1
1910,ME,1
1910,MI,1
1910,MN,1
1910,MO,4
1910,MS,2
1910,NC,2
1910,NE,1
1910,NJ,1
1910,NY,4
1910,OH,7
1910,OR,1
1910,PA,11
1910,RI,1
1910,TN,1
1910,TX,5
1910,VT,3
1910,WI,3
1910,WV,1
1911,AL,1
1911,AR,1
1911,Austria,1
1911,CA,5
1911,Cuba,1
1911,DC,1
1911,Germany,1
1911,IL,7
1911,IN,8
1911,KS,2
1911,KY,2
1911,LA,1
1911,MA,4
1911,MD,1
1911,MI,4
1911,MO,3
1911,NC,3
1911,NE,2
1911,NH,1
1911,NJ,1
1911,NY,3
1911,OH,8
1911,PA,10
1911,Russian Federation,1
1911,SD,1
1911,TN,4
1911,TX,4
1911,United Kingdom,1
1911,VA,1
1911,WA,3
1911,WI,1
1911,WV,1
1912,AL,1
1912,AR,1
1912,CA,3
1912,CO,1
1912,CT,1
1912,Cuba,1
1912,DC,1
1912,Denmark,1
1912,France,1
1912,GA,4
1912,IA,3
1912,IL,6
1912,IN,4
1912,KS,2
1912,KY,2
1912,MA,3
1912,MD,2
1912,MN,1
1912,MO,3
1912,NE,2
1912,NJ,2
1912,NY,9
1912,OH,6
1912,PA,8
1912,SC,1
1912,SD,1
1912,TN,7
1912,TX,5
1912,VA,1
1912,WV,2
1913,CA,3
1913,CO,1
1913,CT,1
1913,Canada,1
1913,GA,2
1913,IL,9
1913,IN,3
1913,KS,1
1913,KY,2
1913,LA,1
1913,MA,3
1913,MD,3
1913,MI,4
1913,MO,4
1913,MS,1
1913,NC,3
1913,NE,3
1913,NJ,2
1913,NY,5
1913,OH,9
1913,OK,3
1913,OR,1
1913,PA,14
1913,TN,1
1913,TX,1
1913,VA,2
1913,WV,2
1914,AL,4
1914,AR,1
1914,CA,5
1914,CO,1
1914,CT,3
1914,Cuba,1
1914,DE,1
1914,GA,2
1914,Germany,1
1914,IA,2
1914,ID,2
1914,IL,18
1914,IN,10
1914,KS,3
1914,KY,1
1914,LA,2
1914,MA,4
1914,MD,2
1914,ME,1
1914,MI,5
1914,MO,8
1914,NC,3
1914,NE,1
1914,NJ,3
1914,NY,3
1914,OH,15
1914,OK,2
1914,PA,16
1914,SC,1
1914,SD,1
1914,TX,8
1914,United Kingdom,1
1914,VA,3
1914,WA,1
1914,WI,2
1914,WV,1
1915,AL,2
1915,CA,2
1915,CT,1
1915,Cuba,1
1915,GA,4
1915,IA,1
1915,IL,7
1915,IN,2
1915,KS,1
1915,KY,4
1915,MA,3
1915,MD,3
1915,MI,2
1915,MO,2
1915,NC,1
1915,NE,1
1915,NJ,3
1915,NV,1
1915,NY,7
1915,OH,6
1915,OR,2
1915,PA,11
1915,Russian Federation,1
1915,SC,1
1915,TN,3
1915,TX,3
1915,VA,1
1915,WA,2
1915,WI,3
1916,AR,1
1916,CA,3
1916,CT,1
1916,Canada,1
1916,GA,2
1916,IA,1
1916,IL,3
1916,IN,2
1916,KS,3
1916,KY,1
1916,MA,2
1916,MD,2
1916,MN,3
1916,MO,4
1916,MS,2
1916,MT,1
1916,NC,2
1916,NE,1
1916,NJ,1
1916,NY,1
1916,OH,3
1916,OK,1
1916,OR,1
1916,PA,6
1916,TN,4
1916,TX,3
1916,VA,1
1916,WV,1
1917,AR,1
1917,CA,4
1917,Cuba,1
1917,IA,3
1917,IL,5
1917,IN,4
1917,KS,2
1917,MA,2
1917,ME,1
1917,MO,4
1917,NE,2
1917,NJ,1
1917,NY,3
1917,OH,2
1917,OK,1
1917,PA,5
1917,TN,3
1917,TX,1
1917,VA,1
1917,WA,1
1917,WI,2
1918,CA,3
1918,Cuba,2
1918,FL,1
1918,GA,1
1918,IA,1
1918,IL,3
1918,IN,1
1918,KS,2
1918,LA,1
1918,MA,1
1918,MD,3
1918,MI,4
1918,MO,5
1918,MS,1
1918,NC,2
1918,ND,1
1918,NJ,2
1918,NY,2
1918,OH,6
1918,OR,1
1918,PA,5
1918,SC,1
1918,Sweden,1
1918,TN,1
1918,TX,2
1918,WA,1
1919,AR,1
1919,CO,2
1919,CT,2
1919,Cuba,1
1919,IA,1
1919,IL,3
1919,MA,1
1919,MD,1
1919,MI,2
1919,MO,3
1919,MS,1
1919,NC,3
1919,NY,3
1919,OH,2
1919,OK,1
1919,PA,3
1919,TX,2
1919,VA,1
1920,AL,2
1920,AR,3
1920,CA,4
1920,CO,1
1920,CT,1
1920,Cuba,1
1920,DC,1
1920,DE,1
1920,GA,2
1920,IL,3
1920,KS,1
1920,LA,1
1920,MA,4
1920,MD,2
1920,MI,2
1920,MO,4
1920,MS,1
1920,NC,4
1920,NE,1
1920,NH,1
1920,NY,4
1920,OH,5
1920,PA,4
1920,SC,2
1920,TX,5
1920,VT,1
1921,AL,4
1921,AR,1
1921,CA,7
1921,CO,1
1921,CT,1
1921,Cuba,1
1921,DC,1
1921,Germany,1
1921,IL,6
1921,IN,3
1921,KS,1
1921,KY,1
1921,LA,1
1921,MA,4
1921,MD,1
1921,MN,1
1921,MO,2
1921,NE,2
1921,NJ,3
1921,NY,2
1921,OH,4
1921,OK,1
1921,OR,2
1921,PA,7
1921,TX,5
1921,VA,1
1922,AL,1
1922,AZ,1
1922,CA,3
1922,CT,2
1922,GA,2
1922,Germany,1
1922,IA,3
1922,IL,4
1922,IN,1
1922,KS,1
1922,LA,1
1922,MA,5
1922,MD,1
1922,ME,1
1922,MI,1
1922,MO,6
1922,MT,1
1922,NC,2
1922,NJ,2
1922,NM,1
1922,NY,6
1922,OH,3
1922,OR,2
1922,PA,4
1922,TN,3
1922,TX,7
1922,VA,3
1922,WI,2
1922,WV,1
1923,AL,1
1923,AR,1
1923,CA,3
1923,GA,2
1923,Germany,1
1923,IA,1
1923,IL,5
1923,KS,1
1923,MA,3
1923,MD,2
1923,MI,1
1923,MN,1
1923,MO,7
1923,NE,1
1923,NJ,3
1923,NY,2
1923,OH,4
1923,OK,1
1923,PA,5
1923,RI,2
1923,SC,1
1923,TN,2
1923,TX,3
1923,VT,1
1923,WI,2
1924,AL,3
1924,AR,1
1924,CA,3
1924,GA,3
1924,IA,2
1924,IL,4
1924,IN,3
1924,KS,1
1924,KY,5
1924,LA,2
1924,MA,2
1924,MI,1
1924,MO,8
1924,MS,2
1924,NJ,2
1924,NY,1
1924,OH,2
1924,PA,4
1924,RI,2
1924,SC,1
1924,TN,3
1924,TX,4
1924,WI,1
1924,WV,2
1925,AL,2
1925,Austria,1
1925,CA,4
1925,CO,2
1925,FL,2
1925,GA,1
1925,IA,2
1925,IL,7
1925,IN,4
1925,KS,3
1925,KY,4
1925,LA,1
1925,MA,5
1925,MD,4
1925,MN,1
1925,MO,3
1925,MS,1
1925,NC,3
1925,NJ,2
1925,NY,3
1925,OH,2
1925,OK,1
1925,OR,1
1925,PA,2
1925,SC,1
1925,TN,2
1925,TX,3
1925,VA,2
1925,WI,1
1926,AL,1
1926,CA,6
1926,CT,1
1926,Cuba,1
1926,DC,1
1926,Germany,1
1926,IA,1
1926,IL,5
1926,IN,1
1926,KS,3
1926,KY,1
1926,MA,4
1926,MD,1
1926,MI,1
1926,MN,2
1926,MO,1
1926,MS,1
1926,NC,2
1926,NJ,1
1926,NY,6
1926,OH,4
1926,OK,2
1926,PA,6
1926,SC,1
1926,TN,1
1926,TX,8
1926,VA,1
1927,AL,1
1927,CA,3
1927,CO,1
1927,DC,1
1927,FL,2
1927,GA,2
1927,IA,2
1927,IL,3
1927,KS,2
1927,LA,1
1927,MA,5
1927,MD,2
1927,MI,1
1927,MO,2
1927,NC,1
1927,NJ,2
1927,NY,1
1927,OH,3
1927,OK,3
1927,PA,4
1927,TN,5
1927,TX,2
1927,WA,1
1928,AL,3
1928,AR,2
1928,CA,6
1928,CT,2
1928,DC,2
1928,IL,5
1928,IN,1
1928,KS,2
1928,KY,2
1928,LA,1
1928,MA,3
1928,MD,2
1928,ME,1
1928,MI,2
1928,MO,3
1928,NC,2
1928,NE,2
1928,NJ,4
1928,NY,4
1928,OH,3
1928,OR,1
1928,PA,5
1928,SC,1
1928,SD,1
1928,TN,3
1928,TX,7
1928,WA,1
1929,AL,2
1929,CA,5
1929,CO,1
1929,FL,2
1929,GA,3
1929,IA,1
1929,IL,6
1929,LA,2
1929,MA,1
1929,MD,3
1929,ME,1
1929,MI,1
1929,MO,2
1929,NC,3
1929,NE,2
1929,NJ,2
1929,OH,3
1929,OK,1
1929,PA,6
1929,TN,4
1929,TX,3
1929,VA,1
1929,WA,2
1929,WV,1
1930,AL,1
1930,AR,4
1930,AZ,1
1930,CA,5
1930,FL,2
1930,GA,2
1930,IA,1
1930,IL,3
1930,KS,3
1930,KY,1
1930,MA,3
1930,MI,3
1930,MO,1
1930,MS,1
1930,NC,3
1930,ND,1
1930,NE,2
1930,NH,1
1930,NJ,1
1930,NY,8
1930,OH,2
1930,OK,2
1930,PA,4
1930,RI,1
1930,SC,4
1930,TN,3
1930,TX,8
1931,AL,3
1931,AR,2
1931,CA,7
1931,CT,1
1931,Canada,2
1931,DC,1
1931,IA,1
1931,IL,2
1931,Ireland,1
1931,KS,2
1931,KY,4
1931,LA,2
1931,MA,2
1931,MI,1
1931,MS,2
1931,NC,1
1931,NJ,1
1931,NY,5
1931,Norway,1
1931,OH,5
1931,OK,1
1931,PA,5
1931,TN,4
1931,TX,2
1931,UT,2
1931,United Kingdom,1
1931,WA,1
1931,WI,1
1932,AL,1
1932,AR,3
1932,CA,3
1932,CT,1
1932,DC,1
1932,Finland,1
1932,GA,1
1932,IL,2
1932,IN,2
1932,KY,1
1932,LA,1
1932,MS,2
1932,NC,6
1932,NE,1
1932,NJ,2
1932,NY,2
1932,OH,1
1932,PA,5
1932,RI,1
1932,Russian Federation,1
1932,SC,1
1932,SD,1
1932,TX,3
1932,VA,1
1932,WI,1
1932,WV,1
1933,AL,1
1933,CA,3
1933,Canada,2
1933,GA,1
1933,IL,3
1933,IN,2
1933,KS,1
1933,KY,1
1933,LA,3
1933,MA,2
1933,MD,1
1933,ME,1
1933,MO,2
1933,MS,1
1933,NC,1
1933,NH,1
1933,NJ,3
1933,NY,5
1933,OH,2
1933,OK,2
1933,OR,1
1933,PA,4
1933,SC,2
1933,TN,1
1933,TX,4
1933,WA,1
1934,AL,1
1934,AR,1
1934,AZ,1
1934,CA,13
1934,Canada,1
1934,GA,1
1934,IA,3
1934,IL,3
1934,IN,1
1934,KS,2
1934,KY,1
1934,LA,2
1934,MA,1
1934,MI,1
1934,MO,1
1934,Mexico,1
1934,NC,2
1934,NH,1
1934,NJ,2
1934,NY,1
1934,OH,5
1934,OK,3
1934,PA,8
1934,SC,1
1934,TN,3
1934,TX,2
1934,WA,1
1934,WI,1
1935,AL,4
1935,AR,1
1935,CA,9
1935,CT,1
1935,GA,2
1935,IA,1
1935,IL,6
1935,KS,1
1935,MA,5
1935,MD,2
1935,MO,4
1935,MS,3
1935,Mexico,1
1935,NC,2
1935,NY,3
1935,OH,2
1935,OK,3
1935,OR,1
1935,PA,2
1935,SC,1
1935,SD,1
1935,TN,2
1935,TX,4
1935,UT,1
1935,VA,1
1936,AL,1
1936,AR,2
1936,CA,6
1936,CT,2
1936,GA,2
1936,IA,1
1936,IL,3
1936,IN,1
1936,KS,1
1936,KY,1
1936,MA,1
1936,MD,1
1936,MN,2
1936,MO,2
1936,MS,3
1936,NC,6
1936,NJ,1
1936,NY,4
1936,OH,4
1936,OK,2
1936,PA,5
1936,SC,1
1936,TN,2
1936,TX,5
1936,VA,2
1936,WI,1
1936,WV,1
1937,AL,3
1937,AR,1
1937,CA,4
1937,CO,1
1937,GA,1
1937,IA,1
1937,IL,7
1937,IN,1
1937,Italy,1
1937,KS,2
1937,KY,1
1937,MA,1
1937,MD,1
1937,MO,4
1937,MS,1
1937,NC,3
1937,NJ,1
1937,NY,3
1937,OH,2
1937,PA,3
1937,RI,1
1937,SC,1
1937,TN,3
1937,TX,3
1937,VA,2
1937,VT,1
1937,WI,4
1938,AL,1
1938,CA,7
1938,CO,1
1938,Canada,4
1938,FL,1
1938,GA,1
1938,IL,4
1938,KS,1
1938,MA,2
1938,MO,5
1938,MS,2
1938,NC,4
1938,NJ,2
1938,NY,3
1938,OH,4
1938,PA,6
1938,TX,6
1938,VA,1
1938,WI,2
1939,AL,3
1939,AR,2
1939,CA,11
1939,Cuba,1
1939,FL,1
1939,GA,2
1939,IA,3
1939,IL,7
1939,IN,2
1939,LA,2
1939,MA,1
1939,MD,3
1939,MI,2
1939,MO,3
1939,MS,3
1939,NC,2
1939,NY,3
1939,OH,2
1939,OK,3
1939,PA,8
1939,SC,1
1939,TN,2
1939,TX,3
1939,Venezuela,1
1939,WA,1
1939,WV,1
1939,WY,1
1940,AL,2
1940,CA,7
1940,Cuba,1
1940,DC,1
1940,GA,1
1940,IA,1
1940,IL,5
1940,IN,2
1940,KS,2
1940,LA,1
1940,MA,3
1940,MD,1
1940,MI,1
1940,MN,1
1940,MO,5
1940,NC,3
1940,NE,1
1940,NJ,3
1940,NY,4
1940,OH,1
1940,OK,1
1940,OR,1
1940,PA,6
1940,SC,1
1940,TN,1
1940,TX,1
1940,UT,2
1940,VA,2
1940,WA,1
1941,AL,2
1941,AZ,1
1941,CA,5
1941,Canada,2
1941,DE,1
1941,GA,4
1941,IA,1
1941,ID,1
1941,IL,5
1941,IN,1
1941,KY,3
1941,LA,1
1941,MA,2
1941,MI,1
1941,MO,5
1941,NC,5
1941,NY,6
1941,OH,3
1941,OK,3
1941,PA,8
1941,SC,2
1941,TN,2
1941,TX,3
1941,VA,2
1941,WV,1
1942,AL,3
1942,AR,1
1942,CA,5
1942,CO,2
1942,Canada,2
1942,GA,1
1942,IA,2
1942,IL,4
1942,IN,3
1942,KS,2
1942,LA,2
1942,MA,6
1942,MI,1
1942,MO,3
1942,MS,2
1942,NC,3
1942,NJ,1
1942,NM,1
1942,NY,5
1942,OH,1
1942,OR,1
1942,PA,6
